store_name,latitude,longitude
FOOLISH SHOP,41.8967068,12.4822025
Sushi Shop,41.917649,12.499743
Pangea,41.9420985,12.5253675
FOOLISH SHOP,41.8967068,12.4822025
Halal indian restaurant,41.8998768,12.50107
Pausa panino,41.8674396,12.4927454
FOOLISH SHOP,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
Bar Birreria Nabil,41.8889898,12.5260432
Lucky Sushi,41.9061126,12.4454153
A Tutta Bufala,41.9365503,12.516718
Gold Burger,41.8834498,12.5377372
Saloon del panino - Portuense,41.8597715,12.451424
Viva Nachos,41.8967068,12.4822025
A Putia,41.9317097,12.5115604
Smokery by Roadhouse,41.8967068,12.4822025
California cookhouse,41.9385473,12.5328887
ODStore,41.8967068,12.4822025
California Burger House,41.8645126,12.6459978
Billy Tacos,41.9023838,12.4384905
ODStore,41.8967068,12.4822025
LM Frutta,41.9029722,12.4872246
PataPinsa,41.9085714,12.4763454
Coca - Cola Restaurant & Bar,41.9083427,12.498038
FOOLISH SHOP,41.8967068,12.4822025
La casa de los Burritos,41.8787557,12.5448482
I Love Burger & much more,41.8967068,12.4822025
Stella sushi,41.8621995,12.5688678
 Chiancheria Gourmet,41.8719042,12.4798009
Il Ghiottone Naticchioni Paolo,41.765683,12.223995
El Maiz,41.9089176,12.4542201
One Market,41.87010069999999,12.5313102
Voglia di pane,41.9064613,12.4453775
Sfilatino Gourmet,41.9132569,12.4513242
L’Enoteca di Maremma Gourmet,41.8728919,12.5276237
Americaland,41.8967068,12.4822025
Sfilatino Gourmet,41.9132569,12.4513242
Color pokè & salad,41.8967068,12.4822025
Beerbubbles,41.88668029999999,12.5609273
L'Enoteca Gourmet,41.8728919,12.5276237
C&C Food & Drink,42.0146737,12.3766989
California cookhouse,41.9385473,12.5328887
The Gipsy Bar,41.891179,12.5312964
La Santeria di Mare,41.88815839999999,12.5301674
Sushi Shop,41.917649,12.499743
Enoteca Vago In Vino,41.869076,12.5271104
Pasticceria @ Dolcevita,41.922318,12.3758021
Smokery by Roadhouse,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
SPARTA,41.9282681,12.5147931
One Market,41.87010069999999,12.5313102
Elettroforno Frontoni Ostiense,41.8530942,12.4769029
Pescato & Mangiato,41.853148,12.5029835
