country_code,city_code,store_name,latitude,longitude
IT,ROM,... e ora PIZZA !,41.8978338,12.5629586
IT,ROM,Mokamilk,41.8769046,12.5165257
IT,ROM,Jia Ri,41.9055785,12.472013
IT,ROM,Donut e Pancakes,41.8967068,12.4822025
IT,ROM,Voglia di Pizza Viale Dei Romanisti,41.869058,12.5719602
IT,ROM,Burromaki Roll by Food Prime,41.8967068,12.4822025
IT,ROM,Que Pokè,41.9173911,12.4646226
IT,ROM,Ristorante Cousine Roma,41.8782801,12.4283123
IT,ROM,12oz Coffee Joint,41.901424,12.502325
IT,ROM,Häagen-Dazs,41.8967068,12.4822025
IT,ROM,Temakinho,41.8967068,12.4822025
IT,ROM,Rainbow Poke,41.8967068,12.4822025
IT,ROM,Il Convivio Troiani,41.901561,12.472707
IT,ROM,Pokerì,41.8967068,12.4822025
IT,ROM,Il Pangocciolaio,41.8719036,12.4793415
IT,ROM,Wizard Poke,41.8817377,12.4601123
IT,ROM,Pizzeria Il Sogno,41.8859505,12.421604
IT,ROM,GROM Express - Gelato,41.8967068,12.4822025
IT,ROM,PaninoLand,41.8967068,12.4822025
IT,ROM,Alice Pizza - Primavalle NON ATTIVARE,41.9249047,12.4138979
IT,ROM,MONDO ARANCINA,41.90958,12.4670893
IT,ROM,Sfizietto ripieno in pasta,41.9090818,12.4533192
IT,ROM,Pinseria Pizza Margherita,41.9076155,12.4977767
IT,ROM,Maat Pancakes,41.8542931,12.5654982
IT,ROM,Pinsa & Delicious Ardeatino,41.8611344,12.5013573
IT,ROM,Volpe Pasini - Bistrò Italiano,41.8917334,12.4929905
IT,ROM,La Cucaracha,41.907723,12.452006
IT,ROM,Pinsa Landia,41.8635149,12.4476897
IT,ROM,al42 by Pasta Chef,41.894807,12.4897611
IT,ROM,Burger King®,41.8967068,12.4822025
IT,ROM,GROM,41.8967068,12.4822025
IT,ROM,Il Fornaretto di Trastevere,41.8821992,12.4678932
IT,ROM,I dolci di Maremma Gourmet,41.9219471,12.5131776
IT,ROM,Salvatore Di Matteo Le Gourmet,41.9050484,12.4717818
IT,ROM,HODDIE HOT DOG,41.8967068,12.4822025
IT,ROM,Pollo & Co,41.9012404,12.5755289
IT,ROM,Felice Pizza,41.8560122,12.5675794
IT,ROM,Poldo and Friends,41.88468,12.541802
IT,ROM,Acacie e Pepe Cucina e cicchetti,41.8875927,12.5645864
IT,ROM,Battistini Healthy Boutique,41.9139089,12.4184299
IT,ROM,Pizza E Sfizi Al Buchetto,41.9170489,12.473441
IT,ROM,La Pasta di Nonna Rosa,41.9083427,12.498038
IT,ROM,Da pulcinella,41.8973969,12.4300254
IT,ROM,Top Pizza,41.8967068,12.4822025
IT,ROM,Pizze & delizie,41.9041806,12.6733676
IT,ROM,Bendito Burrito,41.8967068,12.4822025
IT,ROM,LovBau by Peli e Piume,41.9432177,12.4591713
IT,ROM,La tana dei lupi,41.887246,12.5680519
IT,ROM,Enoteca 38,41.8967981,12.4331879
IT,ROM,La Granoteca,41.9286751,12.6085374
IT,ROM,Margherita pizza,41.8240481,12.4492506
IT,ROM,Ingredienti pizza e delivery,41.8788266,12.4506958
IT,ROM,Antica Pizzeria da Michele,41.9150181,12.4747157
IT,ROM,La Biga,41.8914901,12.4925557
IT,ROM,Er Tegame,41.8967068,12.4822025
IT,ROM,SfizioLand,41.8967068,12.4822025
IT,ROM,Pizzeria San Giorgio,41.8612818,12.6191894
IT,ROM,Sirtaki Sfizi Greci,41.852531,12.716759
IT,ROM,Ristorante Roberto,41.8140337,12.4497887
IT,ROM,Vip Very Italian Pizza Roma,41.8971078,12.4721769
IT,ROM,Pizza Lampo,41.8739531,12.4442508
IT,ROM,Piccola Puglia,41.9128631,12.4971563
IT,ROM,Rossopomodoro,41.8967068,12.4822025
IT,ROM, Pizzeria Forno a legna Ciak si Mangia,41.88933369999999,12.5309639
IT,ROM,Wok house,41.9117571,12.5321026
IT,ROM,Pizza Fast Fidene,41.9698388,12.5148307
IT,ROM,La parannanza,41.8967068,12.4822025
IT,ROM,Er Burger,41.8848239,12.5417156
IT,ROM,Oishi Restaurant,41.8715468,12.4792407
IT,ROM,Ready to Drink,41.8967068,12.4822025
IT,ROM,Phil's slow smoked american barbecue,41.8776521,12.4733398
IT,ROM,Rec 23,41.8919704,12.469326
IT,ROM,Euro pizza,41.8967068,12.4822025
IT,ROM,Pescaria,41.9082963,12.4552272
IT,ROM,Il Funny burger di Kilo,41.9183062,12.4985159
IT,ROM,Baffetto 2,41.8960331,12.4719915
IT,ROM,I Burgeroni,41.8967068,12.4822025
IT,ROM,Famose na pizza,41.8595582,12.4497241
IT,ROM,Girodolio,41.9077952,12.4627534
IT,ROM,Antica Pizza,41.9104465,12.5708757
IT,ROM,Ami Pokè - Ponte Milvio,41.9356402,12.4668987
IT,ROM,Magna... Grecia!,41.8832446,12.5088309
IT,ROM,Crock ‘n Rolls - Street Food,41.8967068,12.4822025
IT,ROM,Ristorante e Bistro Svedese IKEA,41.8967068,12.4822025
IT,ROM,Maybu - Margaritas y burritos,41.90776899999999,12.451823
IT,ROM,Stile di vita,41.9115142,12.5508251
IT,ROM,Pasticceria Savarese,41.8704588,12.5319203
IT,ROM,Kebab station,41.87378,12.4655976
IT,ROM,Hostaria Luce,41.8971542,12.4690719
IT,ROM,Calavera Mex - Burrito y Tacos,41.8967068,12.4822025
IT,ROM,Fornace Stella,41.9111815,12.5167034
IT,ROM,Babasucco,41.8967068,12.4822025
IT,ROM,Tasty Friendly,41.8967068,12.4822025
IT,ROM,Magna e Bevi,41.9402447,12.5364313
IT,ROM,Pinsa & Delicious Alberone,41.8750043,12.5203561
IT,ROM,Bada la piada by Food Prime,41.8967068,12.4822025
IT,ROM,La Lasagneria,41.916304,12.421827
IT,ROM,La Taqueria by Calavera,41.8889155,12.5634574
IT,ROM,Pizzeria Roma,41.8738399,12.6024413
IT,ROM,Bellacoppia Italian Food,41.8981473,12.4558592
IT,ROM,ComprArtigiano,41.9094254,12.457294
IT,ROM,Vinum Est,41.8759628,12.520156
IT,ROM,Come Vuoi Pane & Condimenti,41.8076447,12.4852147
IT,ROM,Pasticceria come una volta,41.8894349,12.4947019
IT,ROM,La Nuova Napoletana,41.9451326,12.5697299
IT,ROM,Miss Sushi,41.8967068,12.4822025
IT,ROM,Panpokè,41.9078981,12.4523454
IT,ROM,Abitudini e Follie,41.9079313,12.5167895
IT,ROM,La Romana Pizzeria,41.8992426,12.4689835
IT,ROM,Laboratorio della pizza,41.9401529,12.466266
IT,ROM,Panchevà,41.8639311,12.553845
IT,ROM,Bistrot Luce,41.8772269,12.4301101
IT,ROM,Venchi Gelato & Cioccolato,41.9001204,12.4806874
IT,ROM,Palapizza Pisana,41.87441310000001,12.4135992
IT,ROM,Pizza Fantasy & Service,41.8423625,12.4253158
IT,ROM,Shiso Restaurant,41.8550556,12.5572054
IT,ROM,Hoz Dog Burgez,41.9087185,12.4548855
IT,ROM,L'Ingrediente Segreto,41.8804131,12.568187
IT,ROM,Pizza e lode,41.85200529999999,12.4785598
IT,ROM,Polpettas,41.8654933,12.5473237
IT,ROM,Giulia Kosher,41.8967068,12.4822025
IT,ROM,DCbistrot,41.8881811,12.4959964
IT,ROM,Metodo 2.0,41.9033254,12.4217108
IT,ROM,Maddeché - bottega birraria abruzzese,41.8284507,12.4821355
IT,ROM,La pizza a casa di Enzo Schiavello,41.87161860000001,12.5217014
IT,ROM,Angelico Box Bistro,41.9050235,12.4595018
IT,ROM,La locanda di Tizia e Caio,41.9055113,12.4105943
IT,ROM,newalanbarbistrot,41.8191093,12.611023
IT,ROM,Potpourri,41.8967068,12.4822025
IT,ROM,Farini 32,41.8983636,12.4996704
IT,ROM,Panina,41.8293191,12.4735857
IT,ROM,PAINGROS 2.0,41.9368392,12.5394468
IT,ROM,Al tipico,41.9105371,12.5712246
IT,ROM,Mangianapoli,41.8967068,12.4822025
IT,ROM,Solo Pizza,41.8686285,12.4519689
IT,ROM,Hong En,41.8774939,12.5156605
