city,restaurant,latitude,longitude,neighborhood
Montreal,Mai Xiang Yuan Dumpling,45.5082653,-73.560729,Quartier Chinois
Montreal,UNIBURGER,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Nouilles Lacai 1966,45.51083149999999,-73.56320099999999,Quartier des Spectacles
Montreal,Green Gazoline Burger,45.4806207,-73.57879419999999,Saint-Henri
Montreal,Nagoya Sushi,45.5066566,-73.5705227,Quartier des Spectacles
Montreal,Bello,45.5007981,-73.5562005,Vieux-Montréal
Montreal,Napoli Pizzeria,45.5008743,-73.57727349999999,Ville-Marie
Montreal,Pizza Bella,45.4958313,-73.5789137,Ville-Marie
Montreal,Restaurant Chez Chen,45.4958409,-73.58035559999999,Ville-Marie
Montreal,Vargas Steakhouse,45.5016451,-73.5673748,Quartier des Spectacles
Montreal,Sésame,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Paradise Biryani Pointe,45.4944268,-73.5798507,Ville-Marie
Montreal,Olu Olu Poke,45.5091625,-73.5706965,Quartier des Spectacles
Montreal,Smile Restaurant,45.5256278,-73.5987806,Mile-End
Montreal,Oh Dumplings,45.5076585,-73.5603842,Quartier Chinois
Montreal,Fang Chi,45.479945,-73.587611,Saint-Henri
Montreal,Sweet Girl,45.5111504,-73.5630979,Quartier des Spectacles
Montreal,A&W Canada,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Restaurant Amir,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Baguette Brochette,45.5191565,-73.5728805,Le Plateau-Mont-Royal
Montreal,Chic Choc Burger,45.5078099,-73.5652013,Quartier des Spectacles
Montreal,Coco fresh tea and juice,45.4967593,-73.5759404,Ville-Marie
Montreal,Golden Thali,45.50870750000001,-73.5622058,Quartier des Spectacles
Montreal,Yo Mama's Burgers,45.510319,-73.57500329999999,Le Plateau-Mont-Royal
Montreal,Le 5 Mai Déjeuners Mexicains Et Plus,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Pizza Dany,45.4977884,-73.574575,Ville-Marie
Montreal,Tzatziki Brothers,45.5092585,-73.57279539999999,Le Plateau-Mont-Royal
Montreal,Thé Perlé,45.522446,-73.5801833,Le Plateau-Mont-Royal
Montreal,Mango Bay Resto Bar,45.4952177,-73.5762404,Ville-Marie
Montreal,Restaurant Fung Shing (Boul Saint-Laurent),45.5084469,-73.561151,Quartier Chinois
Montreal,Royal Sushi,45.5193387,-73.5947643,Mile-End
Montreal,Phyllo Bar Melina's,45.523773,-73.605013,Mile-End
Montreal,The Dumpling Hut,45.5132871,-73.5725563,Le Plateau-Mont-Royal
Montreal,Restaurant La Toile,45.4829192,-73.5812782,Saint-Henri
Montreal,Vargas Sushi Bar,45.5016451,-73.5673748,Quartier des Spectacles
Montreal,BABACOOL MTL,45.5038971,-73.557225,Vieux-Montréal
Montreal,My Canh,45.5083597,-73.5609195,Quartier Chinois
Montreal,Restaurant Zaika,45.5221345,-73.5776314,Le Plateau-Mont-Royal
Montreal,Hero Certified Burgers,45.4976642,-73.5781695,Ville-Marie
Montreal,Le Gras Dur,45.5091786,-73.5629381,Quartier Chinois
Montreal,Benny & Co.,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Szechwan et Nouilles,45.5235686,-73.605795,Mile-End
Montreal,Laurier BBQ,45.5230914,-73.601666,Mile-End
Montreal,Delicieux,45.5080997,-73.5596951,Quartier Chinois
Montreal,Basha,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,POKE FIJI,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Café - Pâtisserie - Traiteur le M,45.4954952,-73.5806084,Ville-Marie
Montreal,Slice & Soda,45.50273,-73.55542,Vieux-Montréal
Montreal,Teochew Foodie,45.5201947,-73.574933,Le Plateau-Mont-Royal
Montreal,Rotisserie Mile End,45.5243975,-73.59986769999999,Mile-End
Montreal,Roi du taco express,45.5255887,-73.5992921,Mile-End
Montreal,Trattoria Trestevere,45.4969811,-73.5748906,Ville-Marie
Montreal,College Cafe,45.4984435,-73.5746763,Ville-Marie
Montreal,Marché Sushi Poke,45.5175782,-73.5787319,Le Plateau-Mont-Royal
Montreal,Jugo Juice,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Valentine,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Bubble Tea Shop,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Le Petit Vibe,45.5096042,-73.5639072,Quartier des Spectacles
Montreal,La Scampia,45.5083421,-73.5522501,Vieux-Montréal
Montreal,La Fabrique de Bagel Montreal,45.5020089,-73.5605637,Ville-Marie
Montreal,G.O.A.T. Grill,45.47495,-73.58658810000001,Saint-Henri
Montreal,Depanneur Snackzilla,45.5282929,-73.5599482,Ville-Marie
Montreal,Junior,45.4866148,-73.56947790000001,Le Sud-Ouest
Montreal,"Eurovap - Munchies, Snacks & Sodas Exotiques",45.53375399999999,-73.561712,Ville-Marie
Montreal,Shushu Bar a Poke + Sushi,45.4835777,-73.5736531,Le Sud-Ouest
Montreal,Copper Branch,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Sugar Marmalade,45.4959048,-73.5755065,Ville-Marie
Montreal,La Marinara Express,45.5203438,-73.5909048,Le Plateau-Mont-Royal
Montreal,Restaurant Asha,45.5092682,-73.5735019,Le Plateau-Mont-Royal
Montreal,Lattuca Barbecue,45.5049453,-73.5535082,Vieux-Montréal
Montreal,Fiorella,45.5016893,-73.5736656,Quartier des Spectacles
Montreal,Grillades Torino,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Second Cup,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,La Diperie,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Hooters,45.4977064,-73.5763688,Ville-Marie
Montreal,The Cheesecake Factory Bakery at La Diperie,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Rocky Mtn Chocolate,45.5029625,-73.57144149999999,Quartier des Spectacles
Montreal,Wally's Crème Glacée Végane,45.5240655,-73.5730452,Le Plateau-Mont-Royal
Montreal,Main Xiang Yuan,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Chop Crazy Gare Centrale,45.4999304,-73.5665831,Vieux-Montréal
Montreal,Carre Confiseries (Peel St),45.5003956,-73.573469,Ville-Marie
Montreal,Le Vieux Dublin Pub & Restaurant,45.5030083,-73.56864639999999,Quartier des Spectacles
Montreal,Ting Xang Dumpling,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Saké Grillades,45.5233892,-73.59323049999999,Mile-End
Montreal,Chicha Restaurant,45.4947706,-73.5800642,Ville-Marie
Montreal,Restaurant Pho Mont Royal,45.5311406,-73.57645450000001,Le Plateau-Mont-Royal
Montreal,Eggspectation,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Just Pressed,45.499567,-73.57379999999999,Ville-Marie
Montreal,Les Glaceurs,45.5277076,-73.57602349999999,Le Plateau-Mont-Royal
Montreal,La Fabrique de Bagel,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Tommy Cafe,45.5038209,-73.5573724,Vieux-Montréal
Montreal,Boba Boba,45.4948819,-73.558635,Le Sud-Ouest
Montreal,Restaurant Le Boucan,45.48731249999999,-73.5689711,Le Sud-Ouest
Montreal,Meet Fresh,45.4938204,-73.57964369999999,Ville-Marie
Montreal,Presse Café,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Restaurant Mr.DAKGALBI,45.4922042,-73.5831099,Ville-Marie
Montreal,BIS,45.4977498,-73.574221,Ville-Marie
Montreal,Brioche Dorée,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Le Vieux St-Laurent,45.5168261,-73.5787562,Le Plateau-Mont-Royal
Montreal,Burger Fiancé,45.50140700000001,-73.5594186,Vieux-Montréal
Montreal,Au Pain Doré,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Cafe Vasco Da Gama,45.5006345,-73.5745293,Ville-Marie
Montreal,Noobox,45.50546110000001,-73.55936369999999,Vieux-Montréal
Montreal,Livia (1468 Peel St),45.5005392,-73.5743181,Ville-Marie
Montreal,L2 Lounge (Rue De La Gauchetiere O),45.5073406,-73.5607436,Quartier Chinois
Montreal,Julian's Comptoir Gourmand,45.5188111,-73.5877137,Le Plateau-Mont-Royal
Montreal,Les Moulins La Fayette,45.5313643,-73.576208,Le Plateau-Mont-Royal
Montreal,Sushiyo,45.5049396,-73.57299259999999,Quartier des Spectacles
Montreal,The Bier Markt,45.4973799,-73.5720465,Ville-Marie
Montreal,Al-Taib Express,45.4957237,-73.5777969,Ville-Marie
Montreal,Avesta Restaurant,45.491565,-73.5825278,Ville-Marie
Montreal,Allo! Mon Coco,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Cachitos,45.5098186,-73.56403949999999,Quartier des Spectacles
Montreal,Pizza Soleil,45.5049917,-73.5714533,Quartier des Spectacles
Montreal,Spirulina,45.499567,-73.57379999999999,Ville-Marie
Montreal,Farrouj Express,45.5102521,-73.5750175,Le Plateau-Mont-Royal
Montreal,Sushi Ste-catherine,45.4938163,-73.5794832,Ville-Marie
Montreal,Snatch Restaurant,45.5215338,-73.5890893,Le Plateau-Mont-Royal
Montreal,Barley,45.48249999999999,-73.57611109999999,Saint-Henri
Montreal,Sushiman,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,5Senses,45.5067379,-73.56638699999999,Quartier des Spectacles
Montreal,Les Grillades Du Cèdre,45.4957585,-73.5539173,Ville-Marie
Montreal,Cafe Aunja,45.4977417,-73.58028329999999,Ville-Marie
Montreal,Peel Pub,45.4994033,-73.57194249999999,Ville-Marie
Montreal,Enoteca Monza Pizzeria Moderna,45.5017873,-73.5703278,Quartier des Spectacles
Montreal,Buffalo Bill Wings,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Metro Cellular / SIM Cards,45.510127,-73.554734,Quartier Chinois
Montreal,La Fabrique,45.5181712,-73.56956670000001,Le Plateau-Mont-Royal
Montreal,Breizh Cafe - Crêperie Bretonne,45.516789,-73.578721,Le Plateau-Mont-Royal
Montreal,Cora,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Atti Express,45.5022718,-73.5697789,Quartier des Spectacles
Montreal,Ben & Florentine,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Mister Steer Restaurant,45.49873849999999,-73.5740237,Ville-Marie
Montreal,Leche Desserts,45.4741469,-73.59223709999999,Saint-Henri
Montreal,Capitaine Sandwich,45.5183185,-73.5783183,Le Plateau-Mont-Royal
Montreal,Philinos,45.5181835,-73.5929208,Le Plateau-Mont-Royal
Montreal,Cafétéria La Mosaïque,45.5066628,-73.57586119999999,Quartier des Spectacles
Montreal,La Boite Verte,45.49963899999999,-73.563631,Vieux-Montréal
Montreal,la perle bleue,45.49341,-73.57372269999999,Ville-Marie
Montreal,042 Afro Lounge,45.4957122,-73.575166,Ville-Marie
Montreal,Ragù ( Le Central ),45.5093056,-73.562932,Quartier des Spectacles
Montreal,La Baguette Farcie,45.5329984,-73.56733,Le Plateau-Mont-Royal
Montreal,Bernice,45.4697465,-73.59256049999999,Le Sud-Ouest
Montreal,Van Winkle's Sandwiches and Cafe,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Chez Ta Mère,45.5242606,-73.5946167,Mile-End
Montreal,Café Mimosa,45.5133458,-73.57102619999999,Le Plateau-Mont-Royal
Montreal,Kim Chi Korean Delight,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Pok Pok,45.5075084,-73.5644126,Quartier des Spectacles
Montreal,Fresh Mint,45.5096585,-73.573697,Le Plateau-Mont-Royal
Montreal,Takumi Sushi,45.517186,-73.5675984,Le Plateau-Mont-Royal
Montreal,La Petite Marche,45.5267457,-73.5886482,Le Plateau-Mont-Royal
Montreal,Restaurant District 4,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Restaurant l'Anecdote,45.5237157,-73.576651,Le Plateau-Mont-Royal
Montreal,Masala indian cuisine,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Deli Grill,45.50093409999999,-73.5737683,Ville-Marie
Montreal,Pizzéria Montréal New York,45.5104973,-73.5630986,Quartier des Spectacles
Montreal,Tropikàl,45.4803592,-73.579076,Saint-Henri
Montreal,Muffin Plus,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Quiznos,45.5018869,-73.56739189999999,Quartier des Spectacles
